slide1_hook,slide1_subtitle,slide2_body,slide3_body,slide4_cta
There is something deeply moving about a woman who has spent decades being everything to everyone finally saying |what about me|,I witness this moment more often than you might think and it never gets ordinary.,She usually apologises first. Says something like sorry I know this is silly or I feel ridiculous even being here. And I always say the same thing which is that there is nothing silly about this and you are welcome here and we are going to take as long as you need. Because she has spent so long making space for everyone else that she has forgotten what it feels like to have someone make space for her.,What I do is not really about aesthetics treatments. It is about that moment when a woman looks in the mirror and recognises herself again. When she stops seeing tired and starts seeing her. That is the appointment I do this job for. Not the treatment itself but what happens to a person when they finally feel seen. If you have been putting yourself last for a while I would very gently like to suggest that you don't have to keep doing that.,Reply FORME
Things you should |never| say to a menopausal woman,I am going to need everyone to take notes because some of you are really struggling with this.,You don't look menopausal. Firstly what does that mean and secondly why do you think that is a compliment. Have you tried just relaxing. Relaxing does not regulate oestrogen but thank you for the medical advice. You're too young for menopause. Perimenopause can start at 35 and the fact that this surprises you is exactly the problem. At least you won't have periods anymore said by someone who has clearly never experienced the seventeen other symptoms that arrive to fill that particular vacancy.,"Is it just hot flushes. No. It is hot flushes and brain fog and joint pain and skin changes and sleep disruption and mood shifts and hair thinning and vaginal dryness and a bone density conversation with your GP that nobody warned you was coming. Menopause is a full body event and the women going through it deserve information, support, and the basic courtesy of not having their experience minimised by people who have not done a single day of research on the subject.",Reply MENO
What people think I do all day versus what I |actually| do all day,People imagine my working day involves a lot of glamour. People are incorrect.,"What people think I do: swan around a beautiful clinic in a white coat looking luminous, inject a few lips, drink coffee from a tasteful cup, and go home looking like a walking advertisement for my own services. What I actually do: back to back consultations where I am simultaneously clinical practitioner, therapist, educator, compliance officer, and occasionally the person who very gently explains that what they saw on TikTok is not a real treatment.","I also do my own admin, keep meticulous clinical notes, stay up to date with regulations that change with alarming regularity, manage my own social media because it does not manage itself, respond to enquiries at all hours, and maintain the kind of continued professional development schedule that would make your eyes water. I love this job completely. I also want people to understand that the polished version they see online represents about fifteen percent of what actually happens and the other eighty five percent involves a lot of spreadsheets.",Reply REALLIFE
|Hyperpigmentation| after 40 is so common and so misunderstood and so frequently made worse by the wrong products,If your dark spots are getting worse despite using products specifically marketed at dark spots we need to have a conversation.,Hyperpigmentation is one of the most common concerns I see in women over 40 and it is also one of the most frequently mistreated. Not because women are doing anything wrong but because the skincare industry sells products for dark spots that are not strong enough to make a meaningful difference while simultaneously containing ingredients that make the problem worse if you are not also using adequate SPF every single day without exception.,Melasma in particular is notoriously stubborn and responds very differently to post-inflammatory hyperpigmentation which is the kind you get after a spot or skin trauma. Treating them the same way is one of the most common mistakes I see. A proper skin consultation where someone actually looks at your skin and asks the right questions is worth infinitely more than another serum that promises results in eight weeks. Come and talk to me and let's work out what is actually going on with your skin.,Reply PIGMENT
If your face is looking |flatter| and more tired than you feel this is the cheek conversation we need to have,Your face is telling a story that does not match how you actually feel inside and that is worth addressing.,Volume loss in the mid face is one of the earliest and most significant changes that happens as we age and it is also one of the least talked about. We talk about lines. We talk about wrinkles. We talk about lips and foreheads. But the cheeks are where the story of facial ageing really begins and most women don't know that until someone points it out in a consultation and suddenly everything makes sense.,When the fat pads in your cheeks begin to descend and the bone beneath begins to remodel the whole face starts to look different. Flatter. Heavier around the lower face. More shadowed. More tired. And the instinct is to think you need your eyes done or your neck done when actually the answer is often sitting quietly in the mid face waiting to be addressed. This is why I look at the whole face in every consultation rather than just treating the area someone points at.,Reply CHEEKBONE
Things we need to |stop| telling women over 40 and things we need to |start| telling women over 40,There is an entire script that women over 40 have been handed and I would like to set it on fire please.,Stop telling women over 40 that they should age gracefully as if wanting to look well is a moral failing. Stop telling them they look great for their age as if their age is something to be survived rather than lived. Stop implying that aesthetic treatments are vanity while simultaneously profiting from women's insecurity about ageing. Stop making them feel guilty for wanting to look in the mirror and feel something other than resignation.,"Start telling women over 40 that they are in one of the most interesting decades of their lives. That the treatments available to them now are more sophisticated, more natural, and more genuinely transformative than anything that existed ten years ago. That wanting to look as good as they feel is not shallow it is sane. That a good practitioner will always work with their face rather than against it. And that they are absolutely allowed to take up space, make choices for themselves, and feel wonderful while they do it.",Reply OVER40
Things I absolutely cannot subscribe to as an injector and I say this with love and also considerable |conviction|,There are trends circulating in aesthetics right now that keep me awake at night and I am going to be very specific.,The pillow face trend. The trout pout. The over-lifted brow that leaves someone looking permanently startled. The filler that is placed so far from where it should be that it has migrated somewhere nobody intended. The practitioner who assesses a face in thirty seconds and reaches for a syringe before asking a single question about what the person actually wants. I cannot and will not participate in any of this and I will explain exactly why to anyone who asks.,"Good aesthetics should be quiet. People should look at you and think you look well, rested, like yourself but on a very good day. They should not be able to identify a specific treatment. The moment a result is identifiable as a procedure rather than simply a person looking their best something has gone wrong. I have spent 7 years developing an eye for what a face needs and even more importantly what it does not need and that second part is just as important as the first.",Reply NATURAL
|Volume loss| — why? And how can you fix it,Your face changes shape as you age and understanding why is the first step to doing something about it.,"Volume loss happens for several reasons simultaneously and this is why it can feel so all-encompassing when it starts. The fat pads in your face which sit in distinct compartments begin to deflate and descend. The bone underneath begins to resorb particularly around the eye sockets, cheeks, and jaw. The collagen and elastin network that gives your skin its structure begins to thin. All of this happens gradually and then one day you look in the mirror and everything looks different and you cannot quite put your finger on why.","The good news is that this is one of the most treatable aspects of facial ageing and the treatments available now are genuinely excellent. Dermal fillers placed strategically in the right hands can restore volume in a way that looks completely natural. Collagen stimulating treatments like profhilo and polynucleotides work with your own biology to rebuild from within. And the results when everything is done correctly and conservatively are not dramatic. They are just you, looking like yourself again.",Reply VOLUME
You don't have to earn the right to feel |good| in your own skin. You just have to decide you're worth it.,I want to say something that I think a lot of women need to hear and I am going to say it without qualifications.,You do not need to have a reason. You do not need to have tried everything else first. You do not need to wait until it gets bad enough to justify doing something about it. You do not need anyone's permission. You do not need to be at a certain age or a certain size or have a certain budget. You do not need to explain yourself to anyone including and especially the people in your life who have opinions about what you do with your own face.,Wanting to look after yourself is enough of a reason. Full stop. The women who come through my door are not vain. They are not silly. They are not victims of an industry that has made them feel bad about themselves. They are women who have decided that they matter and they have booked an appointment and they have shown up for themselves and that is one of the most straightforwardly sane things a person can do. I am always glad when they do.,Reply WORTH
Things you should |never| be embarrassed about,I am compiling a list of things women apologise for in my clinic that they absolutely do not need to apologise for and it is a long list.,"Getting emotional in a consultation. This happens regularly and it is always welcome and it always makes complete sense. Not knowing what a treatment involves before you come. That is what the consultation is for. Having questions that you think might sound stupid. There are no stupid questions in my treatment room only questions that deserve a proper answer. Changing your mind. Before, during, or after. You are allowed.",Not being sure what you want. Most people aren't and working that out together is part of the process. Having had bad work done somewhere else. You are not the one who should be embarrassed about that. Being nervous. Being really nervous. Crying a little bit when you see your results. Telling me it has made you feel more like yourself than you have felt in years. None of these things require an apology. All of them are part of this job and all of them are completely safe to bring into this room.,Reply NOSHAME
Things |partners| say about aesthetics that make practitioners want to scream,I am going to need partners everywhere to read this carefully and take it on board because some of you are really not helping.,You don't need it you look fine. She did not ask whether she needed it. She asked for your support. Fine is not a compliment it is the bare minimum and she is aiming considerably higher than fine. It's just vanity. No it is not and I refer you to every single thing I have ever posted. I don't want you to look fake. She does not want to look fake either and a good practitioner will ensure she does not so perhaps direct your concerns to the people doing bad work rather than to the woman wanting good work.,What if you get addicted. This is not how aesthetics works and also this framing suggests her desire to look after herself is a pathology which is quite something. You look fine as you are. See above regarding fine. I am not suggesting that partners should not be involved in conversations about aesthetics if their partner wants to include them. I am suggesting that unsolicited negative opinions about what a woman chooses to do with her own face are neither welcome nor useful and the women I treat absolutely agree.,Reply PARTNERS
Things aesthetics clinics wish they could put on a sign outside but |HR| won't allow it,A purely hypothetical exercise in what the signage outside certain aesthetics clinics might say if professional conduct were not a consideration.,If you have been quoted significantly less somewhere else please ask yourself why before you book rather than after. No we cannot replicate that result because that result was achieved with a filter and a specific angle and a ring light and not with a syringe. The consultation is not optional and it is not a formality it is where we work out whether we can actually help you and how. Yes we can tell when someone has been somewhere else before coming here and no we will not say I told you so even though.,"Your face took forty years to become the face it is and we are not going to sort it out in twenty minutes. The price reflects the product, the training, the insurance, the clinic environment, the aftercare, and the seven years of experience in the hands holding the needle. The person you follow on Instagram who does it from their kitchen is not the same as this. We are glad you are here. We are glad you chose somewhere safe. We will look after you properly. That is the sign we actually want.",Reply CLINIC
I love the skin I'm in. I also love that I can help other women feel the |same|,I want to tell you where I stand on the aesthetics versus self-acceptance conversation because I think both things can be true at once.,I believe completely in accepting yourself. I also believe completely in choosing to make changes if you want to. These are not contradictory positions. You can love your body and also want to feel better in it. You can appreciate your face and also want to address something that has been bothering you for years. The idea that wanting aesthetic treatment means you have not accepted yourself is a narrative I find both reductive and frankly a bit patronising.,The women I treat are not trying to become someone else. They are trying to look like the best version of themselves. They are trying to close the gap between how they feel on the inside and what they see in the mirror. That is a completely human impulse and one I have enormous respect for. I feel good in my skin. I also know what it feels like to want something to change and I will never make someone feel small for feeling the same.,Reply SKINLOVE
If you're a woman in [location] over 40 and you want to feel like |yourself| again,This is specifically for you and I mean that.,I know what it is like to look in the mirror and feel like the face looking back does not quite match the person you know yourself to be. I know what it is like to feel like something has shifted and you cannot quite name it but you feel it every morning. I know what it is like to feel invisible in a way you never did before and to not know whether that is about how you look or how you feel or both and whether those things are even separable.,I work with women in this exact place every single day. Women who are not looking for a dramatic transformation. Women who just want to look in the mirror and feel like themselves again. That is the most common thing I hear in consultations and it is the thing I am best at helping with. If that sounds like you I would love to have a conversation. Not a hard sell. Not a treatment list. Just a proper conversation about what is going on and what might help. Come and find me.,Reply LOCAL
3 things patients always |worry| about before treatment,I have this conversation so regularly that I could have it in my sleep and I want to have it publicly because you are probably worrying about at least one of these right now.,"That they will look overdone. This is the most common concern I hear and it is a completely understandable one given what is visible on social media. The answer is that overdone results are almost always the product of too much product placed in the wrong way by someone who did not assess the face properly before they started. In the right hands with a conservative approach the goal is always for you to look like you, not like a procedure.",That it will hurt more than they can handle. Most treatments involve minimal discomfort and we work at a pace that you are comfortable with. Nobody is doing anything to your face without your ongoing consent throughout. And that they will regret it. In seven years and across hundreds of clients the regrets I have witnessed have almost exclusively come from one of two places: going somewhere cheaper or waiting too long to come somewhere good. Neither of those is a reason to not have treatment. They are reasons to choose carefully.,Reply WORRIES
"There's a moment in your |40s|, perhaps around 45...",I want to describe this moment because every woman I have ever told about it has said yes that is exactly it.,It is not dramatic. It does not arrive with a fanfare. It is just a Tuesday morning and you catch yourself in the bathroom mirror under a particular light and something is different. Not worse necessarily. Just different. And you stand there for a moment longer than usual trying to work out what has changed and whether it changed overnight or whether it has been happening gradually and you just noticed today.,That moment is the one that sends most women in my direction. Not vanity. Not insecurity. Just curiosity and a quiet readiness to understand what is happening to their face and whether there is anything they want to do about it. Some women come in and decide they want treatment. Some come in and decide they are fine and just wanted the information. Both outcomes are completely valid. I am here for the conversation regardless of where it leads.,Reply MOMENT
"As a medical professional in aesthetics, I wish more |men| knew this",This is directed specifically at the men in the room and I would be very grateful if the women reading this would share it with the relevant parties.,The women in your life who get aesthetic treatments are not doing it because they are insecure or vain or have been manipulated by an industry. They are doing it because they have made an informed choice about how they want to look and feel and that choice has absolutely nothing to do with you. Your opinion about whether they need it was not requested. Your concern that they will look fake is not helpful coming before the treatment when it sounds like a reason not to go.,What is helpful is asking her how she feels about it. What is helpful is being supportive of a decision she has made for herself about her own face. What is helpful is understanding that aesthetic treatments for women are often less about vanity and more about reclaiming something. A sense of self. A feeling of recognition in the mirror. The version of themselves they know themselves to be. If the woman you love is considering treatment the kindest thing you can do is be in her corner.,Reply FORMEN
Here's what |perimenopause| does to your skin and what HRT does about it,This is the conversation your GP did not have time for and I am going to have it properly.,"As oestrogen levels begin to decline during perimenopause your skin loses its ability to retain moisture as effectively. Collagen production slows significantly. The skin barrier becomes more vulnerable. Elasticity decreases. You may notice your skin feeling drier, looking duller, developing a crepey texture in places, and losing the kind of plumpness that it had in your 30s. This is not your imagination and it is not just tiredness. It is a hormonal change with direct and documented effects on skin structure.","HRT replaces the oestrogen your body is no longer producing in the same quantities and the effects on skin can be genuinely significant. Research suggests HRT can help maintain collagen density, improve skin hydration, and support elasticity. It is not a cosmetic treatment. It is a medical one that happens to have skin benefits alongside its other effects. If you are in perimenopause and nobody has discussed your skin with you as part of that conversation I am very glad you are reading this now.",Reply HRTINFO
Women over |40| only...,If you are under 40 you are welcome to read this but you will not fully understand it yet and that is actually fine.,The specific experience of being a woman over 40 in the current beauty landscape is something I find genuinely fascinating and also occasionally maddening. You are old enough to remember when nobody talked about any of this. When your mum just got older and that was that and nobody discussed what was happening to her skin or her hormones or her sense of self in any detail whatsoever. And now suddenly there is information everywhere and products for everything and treatments for things you didn't even know had names.,And it is brilliant that the conversation has opened up. It is also occasionally overwhelming and a little bit bewildering when you have spent forty years being told to just get on with it and now you are being told there are seventeen things you should be doing for your skin every morning and fourteen of them are non-negotiable. I want you to know that you do not have to do all of it. You just have to find someone you trust who will help you work out what actually matters for your specific face. That is where I come in.,Reply OVER40ONLY
Things I cannot live without as an aesthetic practitioner,A completely honest list of the things that make my working life both possible and occasionally wonderful.,A client who has read their pre-treatment advice. I say this with complete love because it is clearly a lot to ask. Proper lighting in the treatment room because I cannot work on what I cannot see and I will not apologise for the consultation light being slightly brutal. A good numbing cream and enough time to let it actually work because rushing this benefits nobody and I will not rush it. My clinical notes because my memory is excellent and also I have forty clients and a responsible system is not optional.,Continued education because this industry changes and anyone who thinks they know everything already is the most dangerous person in the room. Honest conversations with clients even when they are not what the client was hoping to hear because the alternative is doing something I should not and I will not do that. And yes a client who arrives on time. Not because I am strict about it but because the person after you also has a face and they also matter and everyone deserves the time they have been given. Thank you for coming to my very heartfelt and specific TED talk.,Reply PRACTLIFE
If you could go back and tell your |18 year old| self one thing about looking after your skin what would it be,I ask this in consultations sometimes and the answers are consistently wonderful and occasionally heartbreaking.,Almost every woman over 40 says SPF. Every single one of them. Some say it with a laugh and some say it with genuine grief for the summers they spent baking in the sun with nothing on their face and the evidence of those summers now sitting in photographs and on their skin in ways they wish were different. The second most common answer is stop picking your skin which is said with the specific rueful expression of someone who knows exactly what that cost them.,But my favourite answers are the ones that have nothing to do with products. Stop hating it. Stop thinking it was not good enough. Stop looking at it with such a critical eye when it was doing nothing but being young and healthy and alive. Because the real gift I could give my 18 year old self would not be a sunscreen recommendation. It would be the instruction to look at her face with kindness and see what was actually there rather than what she feared was missing. Drop your answer in the comments. I genuinely want to know.,Reply YOUNGME
|Rosacea| is not just a bit of redness it is your skin staging a full protest,Rosacea is one of the most common skin conditions I see and also one of the most poorly managed and I want to change that.,"Rosacea is a chronic inflammatory skin condition that causes redness, visible blood vessels, and in some cases bumps and swelling across the cheeks, nose, chin, and forehead. It is not caused by poor skincare. It is not caused by drinking too much. It is not something you can scrub away or exfoliate out of existence in fact doing either of those things will make it significantly worse. It is a condition with triggers, patterns, and a management plan and it responds very well to the right approach.","The things that help include identifying and avoiding your personal triggers which vary between individuals, using a simplified and barrier supporting skincare routine, avoiding anything that increases heat or flush in the skin, and seeking professional treatment for the vascular component which can be addressed very effectively with the right technology. If you have been managing rosacea alone with whatever you found in the skincare aisle I would really like to have a conversation with you about what is actually available because you may have considerably more options than you realise.",Reply ROSACEA
Bet you didn't know that the shape of your |lips| changes in your 40s for a completely different reason than you think,Everyone talks about lip volume but almost nobody talks about what actually happens to the structure of the lip as we age and it matters.,The volume loss in lips as we age is the part everyone notices and discusses. But what often goes unmentioned is the loss of definition along the vermillion border which is the line that separates the lip from the surrounding skin. This border becomes softer and less defined with age which causes lipstick to bleed and the lips to lose their shape even before significant volume is lost. There is also a lengthening of the philtrum which is the area between the nose and the upper lip which causes the lip to turn inward slightly and appear thinner even when volume is still present.,Understanding these structural changes changes the conversation about what a lip actually needs. Sometimes the answer is volume restoration. Sometimes it is definition. Sometimes it is a lifting of the lip border. And sometimes it is a combination of all three done very gradually and conservatively over time. This is why I find the question what do you want done to your lips much less useful than let me look at your lips properly and tell you what I actually see.,Reply LIPS
If someone has recommended |polynucleotides| and you've gone home and googled it and come back more confused than before,The internet has done polynucleotides absolutely no favours in terms of clear explanation and I am going to fix that right now.,"Polynucleotides are fragments of DNA derived from salmon or trout sperm. I know. Stay with me. These DNA fragments have a remarkable ability to stimulate fibroblast activity which is the cellular activity responsible for producing collagen, elastin, and hyaluronic acid in your skin. They also have significant anti-inflammatory and antioxidant properties. When injected into the skin they essentially give your skin's own repair mechanisms a very thorough and extended reminder of what they are supposed to be doing.","The results are not instant and they are not dramatic and this is actually the point. Polynucleotides improve skin quality rather than changing the structure of the face. Skin becomes more hydrated, more luminous, more elastic, and more resilient over a course of treatments. Fine lines improve. Texture improves. The skin simply looks and behaves like better skin. It is one of the treatments I recommend most enthusiastically for women in perimenopause and menopause because the skin changes of that stage respond beautifully to it.",Reply PNINFO
I genuinely love this job because it is never really about the |treatment|. It is about the woman leaving differently to how she arrived.,I want to tell you what I actually see when I watch a woman walk out of my clinic and why it never gets old.,She arrived slightly hunched maybe. Holding herself carefully. Speaking quickly as if she needed to justify being there before I had a chance to question it. She sat in the chair and explained what she wanted and somewhere in the middle of that she started explaining why she wanted it and that is always the more interesting part of the conversation. The why is always more interesting.,She leaves differently. It is not dramatic. She has not had a personality transplant or been magically cured of everything that was troubling her. But there is something different in the way she carries herself out of the room. Something slightly more settled. Like she has done a thing for herself and it felt like the right thing to do and that feeling is sitting quietly somewhere good. I have watched this happen hundreds of times across seven years and it is still the reason I come to work.,Reply DIFFERENT
Things that are |perimenopause| pretending to be something else and honestly the cheek of it,Perimenopause is impressively creative in the ways it disguises itself as completely unrelated things and I think it deserves to be called out.,Anxiety that appears out of nowhere in a person who has never been anxious. Depression that descends in someone who has no obvious reason to be depressed. Insomnia that arrives and simply refuses to leave despite every sleep hygiene intervention known to humankind. Joint pain that your GP investigates thoroughly and finds nothing to explain. Brain fog so significant that you start genuinely worrying about early onset dementia. All of these can be perimenopause and in women in their late 30s and 40s frequently are.,The skin changes are perhaps the most insidious because they are so gradual. Skin that was previously balanced starts to feel dry. Skin that was previously glowing starts to look dull. Breakouts arrive in women who have not had spots since their teens because fluctuating hormones affect sebum production. Sensitivity increases. Healing slows. All of this is perimenopause doing its thing and none of it is your fault and all of it is worth talking about with both your GP and with someone who understands what it does to your skin specifically.,Reply PERISPOT
